2025-08-11 15:38:07 | INFO     | root                 | Logging initialized - Level: INFO, File: logs\video_processor.log
2025-08-11 15:38:07 | INFO     | utils.config_manager | Created default configuration at config\app_settings.json
2025-08-11 15:38:07 | INFO     | utils.config_manager | Configuration loaded from config\app_settings.json
2025-08-11 15:38:07 | INFO     | queue_manager        | Queue Manager initialized with file: queue.json
2025-08-11 15:38:07 | WARNING  | gdrive_handler       | Google Drive integration disabled or dependencies missing
2025-08-11 15:38:07 | WARNING  | premiere_automation  | Premiere Pro automation disabled or COM not available
2025-08-11 15:38:07 | WARNING  | topaz_handler        | Topaz Video AI enhancement disabled
2025-08-11 15:38:07 | INFO     | __main__             | Video Processor Application initialized
2025-08-11 15:38:07 | INFO     | __main__             | Starting Video Processor Application
2025-08-13 03:40:33 | INFO     | root                 | Logging initialized - Level: INFO, File: logs\video_processor.log
2025-08-13 03:40:33 | ERROR    | __main__             | Error starting processing: name 'os' is not defined
2025-08-13 03:40:33 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:40:33] "[35m[1mPOST /api/start_processing HTTP/1.1[0m" 500 -
2025-08-13 03:40:36 | INFO     | root                 | Logging initialized - Level: INFO, File: logs\video_processor.log
2025-08-13 03:40:36 | ERROR    | __main__             | Error starting processing: name 'os' is not defined
2025-08-13 03:40:36 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:40:36] "[35m[1mPOST /api/start_processing HTTP/1.1[0m" 500 -
2025-08-13 03:40:37 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:40:37] "POST /api/stop_processing HTTP/1.1" 200 -
2025-08-13 03:40:41 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:40:41] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:40:43 | ERROR    | __main__             | Error adding test job: 400 Bad Request: Failed to decode JSON object: Expecting value: line 1 column 1 (char 0)
2025-08-13 03:40:43 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:40:43] "[35m[1mPOST /api/add_test_job HTTP/1.1[0m" 500 -
2025-08-13 03:40:51 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:40:51] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:40:51 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:40:51] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:41:01 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:41:01] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:41:01 | ERROR    | __main__             | Error adding test job: 400 Bad Request: Failed to decode JSON object: Expecting value: line 1 column 1 (char 0)
2025-08-13 03:41:01 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:41:01] "[35m[1mPOST /api/add_test_job HTTP/1.1[0m" 500 -
2025-08-13 03:41:10 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:41:10] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:41:21 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:41:21] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:41:31 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:41:31] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:41:42 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:41:42] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:41:51 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:41:51] "GET /api/queue HTTP/1.1" 200 -
